zipcode,SQMI,x,y,Pct_EV,Cport_den,Sex_ratio,Pct_30_60,Pct_60,Pct_bachelor,Med_incm_family,Ln_pop_den,Pking_den,Num_veh_hd,Num_wk_hd,Road_den,Pct_white,ev_cnt,FuelV_cnt,CS_cnt,CPort_cnt,FuelS_cnt,Pop,Pop_male,Pop_female,num_bachelor,pk_SQMI_cnt,pk_SQMI_sum,len_mile_cnt,len_mile_sum,year
60208,0.259341,-87.67475726,42.05494091,20.96774194,15.42370855,100.8600113,40.4,21.3,27.78634765,105872.56,8.013352657,4.332905,1.718985236,1.238925099,12.377572,66.35516403,13,49,2,4,0,,,,,19,0.011237,24,3.210012,2020
60301,0.154578,-87.79878551,41.88861288,10.60606061,38.81535536,85.4,42.4,31.1,69.57971981,107401,9.872757,6.996468,0.9469,0.8223,59.952089,59.47,14,118,3,6,0,2998,1381,1617,2086,17,0.010815,66,9.267274,2020
60302,2.97902,-87.78971104,41.89473982,15.48387097,4.499730356,87.5,42.7,22.8,51.41599088,145313,9.268305,0.845144,1.3427,1.1689,23.492028,65.53,240,1310,,,7,31568,14734,16834,16231,46,0.025177,251,69.983222,2020
60304,1.560486,-87.78939614,41.87252125,10.19184652,2.563303996,88.4,40.9,20.3,47.82732664,142528,9.327014,0.213011,1.5672,1.4132,27.647163,68.16,85,749,1,4,5,17536,8230,9306,8387,7,0.003324,127,43.143011,2020
60305,2.449756,-87.81924792,41.89500452,17.07779886,4.499730356,95.4,37.2,24.1,52.31094367,193171,8.398969,1.797526,1.6295,1.1703,16.846774,83.19,90,437,,,2,10883,5313,5570,5693,47,0.044035,203,41.270486,2020
60402,6.448167,-87.78918115,41.83090472,0.965073529,0.155082832,102.1,41.2,18,14.25496979,74367,9.182783,0.965174,1.7238,1.337,20.965497,50.47,42,4310,1,1,10,62729,31697,31032,8942,69,0.062236,462,135.189025,2020
60403,4.849655,-88.12167056,41.56561375,0.542740841,4.499730356,125.5,40.5,22,15.40169759,65305,8.337694,0.371181,1.6929,1.0504,14.915748,65.7,8,1466,,,1,20264,11277,8987,3121,6,0.018001,309,72.336231,2020
60404,15.038762,-88.22126389,41.50817717,2.360622803,0.13298967,102.6,37.3,26.6,27.8219479,120938,7.147755,0.039644,2.0719,1.222,7.7461,84.18,47,1944,1,2,2,19118,9680,9438,5319,6,0.005962,484,116.491748,2020
60406,5.713579,-87.68134042,41.65449993,0.493938033,4.499730356,104.1,38.1,16.9,10.21702967,56328,8.417182,0.478737,1.5045,1.1719,15.842564,50.26,11,2216,,,4,25849,13186,12663,2641,20,0.027353,537,90.517739,2020
60409,7.708219,-87.55115596,41.61293629,0.183150183,4.499730356,81.9,37.5,21.2,13.58856165,55612,8.455328,2.344134,1.4514,1.0251,13.718179,19.16,6,3270,,,1,36229,16317,19912,4923,91,0.180691,533,105.742731,2020
60410,33.953777,-88.19624358,41.41997662,0.991253644,4.499730356,96.3,38,20.6,20.61238074,103026,5.986999,0.10183,2.3024,1.3791,2.696226,95.21,17,1698,,,4,13521,6632,6889,2787,25,0.034575,371,91.547049,2020
60411,32.183803,-87.59043633,41.50918395,0.4626952,0.03107153,91.6,36.8,19.3,12.61651015,57038,7.476919,0.582663,1.6616,1.1189,9.146491,29.81,24,5163,1,1,4,56862,27188,29674,7174,39,0.187523,1154,294.36887,2020
60415,2.126447,-87.77987721,41.70308437,1.047619048,0.940536021,104.6,39,21.8,16.80889208,63452,8.788424,3.485956,1.6229,1.116,23.704202,76.33,11,1039,1,2,1,13945,7128,6817,2344,23,0.074127,290,50.405729,2020
60417,35.682239,-87.5941304,41.43108586,1.26146789,4.499730356,95,34.6,33.7,23.80325278,86234,6.053542,0.009175,2.0379,1.0845,3.722432,62.18,22,1722,,,0,15187,7397,7790,3615,7,0.003274,536,132.824706,2020
60418,2.808678,-87.74052269,41.64524741,2.283105023,4.499730356,100.8600113,40.4,21.3,27.78634765,105872.56,8.013352657,0.490088,1.718985236,1.238925099,18.791285,66.35516403,10,428,,,1,,,,,2,0.013765,285,52.778668,2020
60419,4.471658,-87.5983234,41.62824626,0.137931034,4.499730356,85.7,35.1,22.9,12.29754587,57634,8.514089,0.020731,1.4515,0.9896,16.856437,4.8,3,2172,,,1,22289,10286,12003,2741,1,0.000927,337,75.37622,2020
60422,3.875514,-87.68406951,41.53801673,6.032171582,2.064242317,96,39.1,26.5,41.18653127,129671,7.788988,0.247735,1.8009,1.1334,17.595548,35.08,45,701,1,8,1,9355,4581,4774,3853,5,0.009601,293,68.191791,2020
60423,38.670119,-87.83853316,41.47837725,3.445378151,0.02585976,95.2,39.9,22.7,32.31933095,133291,6.6972,0.046566,2.1819,1.424,6.523778,86.41,123,3447,1,1,4,31328,15276,16052,10125,16,0.018007,994,252.275273,2020
60425,4.085602,-87.61159171,41.54194666,0.632911392,4.499730356,74.9,36.7,21.1,20.65811489,71648,7.693614,0.332387,1.7348,1.0906,11.392929,22.21,5,785,,,0,8965,3839,5126,1852,5,0.01358,196,46.546975,2020
60426,7.662724,-87.65231858,41.61022359,0.238853503,4.499730356,90.1,34.1,21.1,7.69838137,47772,8.198687,0.331083,1.4107,0.9474,17.658607,19.51,6,2506,,,6,27863,13208,14655,2145,13,0.02537,621,135.31303,2020
60428,5.536183,-87.69288825,41.60028102,0.091827365,4.499730356,89.2,32.8,18.6,9.41410458,45380,7.686924,0.136665,1.5999,1.0078,17.652311,17.93,1,1088,,,1,12067,5689,6378,1136,6,0.007566,315,97.726423,2020
60429,4.33178,-87.68230541,41.57391177,1.085383502,0.461703965,78.6,35.1,19.8,17.0856883,65560,8.17569,0.233091,1.5146,1.0176,22.42845,10.39,15,1367,1,2,2,15393,6775,8618,2630,3,0.010097,385,97.155113,2020
60430,6.796082,-87.66240279,41.55769177,1.72972973,0.147143604,94.7,39.6,22.9,31.03710462,90813,7.973448,0.133783,1.6731,1.1571,14.771363,47.28,32,1818,1,1,4,19728,9596,10132,6123,10,0.009092,451,100.387397,2020
60431,14.503428,-88.20724485,41.53230028,0.751341682,0.137898433,92,41.4,15.2,18.87259011,104697,7.405574,0.202952,2.1205,1.4396,10.322587,76.76,21,2774,1,2,6,23860,11430,12430,4503,31,0.029435,608,149.712891,2020
60432,7.692691,-88.04372998,41.54014691,0.74941452,4.499730356,107.1,40.2,12.6,8.16980574,53729,7.877218,0.963239,1.838,1.2831,9.807857,42.53,16,2119,,,1,20282,10489,9793,1657,80,0.074099,423,75.448815,2020
60433,14.728193,-88.0451917,41.49692727,0.333889816,0.135793984,105.6,38.8,20.6,7.18073492,65214,6.992391,0.367126,1.8293,1.1294,6.067586,52.89,6,1791,1,2,2,16029,8231,7798,1151,41,0.054071,408,89.364581,2020
60435,10.305344,-88.12852245,41.54564762,0.834064969,0.194074065,95.9,39.8,18.4,14.68227492,77864,8.476277,0.476394,1.7445,1.2019,17.433618,63.74,38,4518,2,2,3,49461,24216,25245,7262,41,0.049094,805,179.659431,2020
